Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
Intermediate,Commerce,Financial Analysis,None,71,Sales Assistant
Master's,Computer Science,"SQL, Python, Data Analysis",Mental Health Basics,69,Software Engineer
Bachelor's,Psychology,"MS Office, Communication",None,60,Junior Accountant
Bachelor's,Science,"Machine Learning, Communication, Financial Analysis",CFA Level 1,91,Financial Analyst
Intermediate,Computer Science,"Marketing, Machine Learning, SQL",Mental Health Basics,70,Junior Accountant
Intermediate,Business,Data Analysis,Mental Health Basics,63,Junior Accountant
Bachelor's,Computer Science,"MS Office, Counseling",Creative Writing,79,Data Entry Operator
PhD,Finance,"Marketing, Accounting, MS Office",AWS Certified,68,Professor
PhD,Commerce,Accounting,AWS Certified,90,Clerk
PhD,Business,Communication,Digital Marketing,87,Marketing Executive
PhD,Computer Science,Machine Learning,Digital Marketing,95,Sales Assistant
Intermediate,Engineering,"Python, Financial Analysis",Mental Health Basics,65,Software Engineer
Intermediate,Computer Science,"Data Analysis, Marketing",Mental Health Basics,84,Software Engineer
Master's,Business,"Machine Learning, MS Office",Mental Health Basics,75,Marketing Executive
Bachelor's,Arts,"SQL, Financial Analysis, Communication",None,75,Data Entry Operator
Intermediate,Computer Science,Accounting,Creative Writing,83,Clerk
Intermediate,Computer Science,Machine Learning,Creative Writing,87,Research Scientist
Bachelor's,Engineering,"Accounting, Counseling",Mental Health Basics,72,Data Entry Operator
Master's,Psychology,"Communication, Python, SQL",AWS Certified,62,Financial Analyst
Master's,Engineering,Communication,AWS Certified,84,Business Analyst
Bachelor's,Psychology,"Marketing, Counseling",Digital Marketing,60,Sales Assistant
Master's,Psychology,"Accounting, Marketing",Google Data Analytics,86,Research Scientist
Master's,Engineering,Python,Tally ERP,66,School Counselor
Intermediate,Engineering,"Marketing, Data Analysis",Digital Marketing,65,Financial Analyst
Matric,Engineering,Counseling,Google Data Analytics,64,Clerk
Master's,Psychology,Data Analysis,Creative Writing,81,ML Engineer
Master's,Finance,Marketing,Google Data Analytics,79,School Counselor
PhD,Science,"Financial Analysis, Data Analysis",Mental Health Basics,69,Financial Analyst
Bachelor's,Business,"Accounting, Marketing, MS Office",Mental Health Basics,92,Software Engineer
Bachelor's,Finance,Counseling,Digital Marketing,88,Clerk
Master's,Commerce,MS Office,None,70,Data Entry Operator
Intermediate,Business,"MS Office, Accounting, SQL",AWS Certified,72,Junior Accountant
PhD,Science,"Financial Analysis, Marketing",Creative Writing,94,Professor
PhD,Commerce,"Data Analysis, Machine Learning",Tally ERP,87,Junior Accountant
Matric,Engineering,Accounting,None,90,Financial Analyst
Intermediate,Computer Science,Accounting,Creative Writing,78,Clerk
Bachelor's,Finance,"Counseling, Data Analysis",Google Data Analytics,91,Junior Accountant
PhD,Finance,"Accounting, Machine Learning",CFA Level 1,69,Software Engineer
Matric,Science,Python,CFA Level 1,89,Business Analyst
Matric,Arts,"Machine Learning, MS Office, SQL",None,68,Data Entry Operator
Intermediate,Commerce,SQL,Mental Health Basics,72,Financial Analyst
PhD,Commerce,"Python, Communication",AWS Certified,78,Financial Analyst
PhD,Psychology,Data Analysis,Google Data Analytics,76,ML Engineer
PhD,Commerce,"Marketing, Counseling",Tally ERP,62,Data Entry Operator
PhD,Engineering,"Python, Communication, Marketing",CFA Level 1,82,School Counselor
Bachelor's,Finance,"Python, Communication, Machine Learning",CFA Level 1,68,Software Engineer
PhD,Science,"Communication, Accounting",Mental Health Basics,92,ML Engineer
Master's,Psychology,Financial Analysis,Digital Marketing,68,Sales Assistant
Master's,Arts,Counseling,CFA Level 1,68,School Counselor
Bachelor's,Finance,"Counseling, SQL, Machine Learning",Creative Writing,87,ML Engineer
Matric,Engineering,Marketing,Tally ERP,61,ML Engineer
Matric,Science,Accounting,Google Data Analytics,94,ML Engineer
Master's,Psychology,Counseling,AWS Certified,67,Clerk
Master's,Science,"Data Analysis, Accounting, Financial Analysis",CFA Level 1,76,ML Engineer
Master's,Psychology,Python,AWS Certified,66,Professor
Master's,Engineering,"Marketing, Financial Analysis, Data Analysis",Digital Marketing,94,Data Entry Operator
Intermediate,Psychology,"Accounting, Communication",None,66,Business Analyst
Matric,Business,"Data Analysis, Accounting",CFA Level 1,73,Professor
Matric,Psychology,Counseling,Digital Marketing,80,Software Engineer
Master's,Business,"Machine Learning, Accounting",Mental Health Basics,76,Data Entry Operator
Intermediate,Psychology,Financial Analysis,Mental Health Basics,81,Financial Analyst
Intermediate,Business,"Python, Machine Learning, MS Office",AWS Certified,79,Marketing Executive
Bachelor's,Commerce,"Python, Counseling",CFA Level 1,71,Professor
Bachelor's,Business,"Communication, MS Office, Machine Learning",Mental Health Basics,75,Junior Accountant
Matric,Psychology,Machine Learning,None,64,School Counselor
PhD,Engineering,"Accounting, Python",Digital Marketing,65,Research Scientist
Intermediate,Psychology,"Data Analysis, SQL",None,80,Software Engineer
Matric,Business,"Data Analysis, Counseling, Financial Analysis",Creative Writing,89,Software Engineer
Intermediate,Engineering,SQL,AWS Certified,94,Business Analyst
PhD,Commerce,Financial Analysis,CFA Level 1,95,Software Engineer
Intermediate,Business,"Communication, Marketing, Financial Analysis",Creative Writing,77,Professor
Bachelor's,Psychology,Accounting,Google Data Analytics,65,Marketing Executive
Bachelor's,Arts,"Counseling, Financial Analysis",Tally ERP,92,Professor
Bachelor's,Finance,"Marketing, Counseling, MS Office",Creative Writing,82,Software Engineer
Master's,Engineering,"SQL, Financial Analysis",Creative Writing,82,Software Engineer
Matric,Engineering,"SQL, Counseling",AWS Certified,72,Marketing Executive
Intermediate,Psychology,"Marketing, SQL, Financial Analysis",Digital Marketing,82,Financial Analyst
Master's,Engineering,"Communication, Counseling, MS Office",Creative Writing,72,Business Analyst
Bachelor's,Engineering,Financial Analysis,Digital Marketing,67,Research Scientist
PhD,Psychology,"MS Office, SQL",Mental Health Basics,81,ML Engineer
Master's,Finance,"Communication, Financial Analysis",Tally ERP,72,Financial Analyst
PhD,Computer Science,Accounting,None,87,Junior Accountant
Bachelor's,Psychology,Counseling,Digital Marketing,87,Financial Analyst
Master's,Science,"Accounting, SQL",Creative Writing,83,School Counselor
PhD,Commerce,"SQL, Marketing, MS Office",Mental Health Basics,69,Financial Analyst
Master's,Finance,Marketing,Mental Health Basics,73,Sales Assistant
Bachelor's,Arts,"MS Office, Financial Analysis, Python",Mental Health Basics,91,ML Engineer
Bachelor's,Business,"SQL, Accounting",Digital Marketing,77,School Counselor
Intermediate,Finance,Machine Learning,None,90,School Counselor
PhD,Computer Science,Financial Analysis,Creative Writing,67,Clerk
PhD,Science,SQL,CFA Level 1,83,School Counselor
Matric,Finance,"SQL, Marketing",CFA Level 1,77,Professor
Bachelor's,Business,"MS Office, Python",Digital Marketing,67,Clerk
Bachelor's,Engineering,"Accounting, SQL",Digital Marketing,75,Business Analyst
Master's,Psychology,"MS Office, Machine Learning, SQL",Digital Marketing,60,Software Engineer
Bachelor's,Arts,Machine Learning,Google Data Analytics,63,School Counselor
Bachelor's,Finance,"Python, MS Office",AWS Certified,81,ML Engineer
Master's,Engineering,Counseling,AWS Certified,80,Data Entry Operator
PhD,Business,"Python, Machine Learning, Counseling",Creative Writing,69,Financial Analyst
Matric,Engineering,Machine Learning,Mental Health Basics,87,ML Engineer
Master's,Finance,"Counseling, Marketing, Communication",None,79,Research Scientist
Matric,Science,Marketing,AWS Certified,78,Sales Assistant
PhD,Psychology,"Accounting, Data Analysis, SQL",CFA Level 1,93,Junior Accountant
Master's,Psychology,MS Office,AWS Certified,89,School Counselor
Intermediate,Engineering,"MS Office, Counseling, Data Analysis",Google Data Analytics,88,ML Engineer
Intermediate,Engineering,"Counseling, Python, Marketing",Mental Health Basics,63,Junior Accountant
Bachelor's,Psychology,"Financial Analysis, SQL, Accounting",Mental Health Basics,60,Software Engineer
Intermediate,Finance,"Machine Learning, Data Analysis, Counseling",Tally ERP,87,Financial Analyst
PhD,Science,"MS Office, Python",None,81,Marketing Executive
Intermediate,Engineering,Python,Creative Writing,89,Sales Assistant
Master's,Science,"Counseling, Communication, Machine Learning",Google Data Analytics,62,Marketing Executive
PhD,Computer Science,Accounting,Mental Health Basics,87,Data Entry Operator
Master's,Business,"Machine Learning, Accounting",Tally ERP,70,ML Engineer
Matric,Science,"Data Analysis, Python",AWS Certified,62,Research Scientist
Matric,Engineering,"Python, SQL",Mental Health Basics,88,Professor
Intermediate,Arts,"Communication, Machine Learning, Accounting",Mental Health Basics,87,Professor
Intermediate,Finance,Communication,AWS Certified,81,Software Engineer
Intermediate,Engineering,"SQL, Data Analysis, Accounting",Digital Marketing,69,Professor
Matric,Psychology,"SQL, MS Office",Mental Health Basics,74,Business Analyst
Matric,Finance,"Communication, Python",AWS Certified,80,Sales Assistant
PhD,Engineering,"Marketing, SQL, Communication",Mental Health Basics,63,Business Analyst
PhD,Engineering,"Counseling, Financial Analysis, Marketing",AWS Certified,61,Sales Assistant
Intermediate,Business,"Marketing, Machine Learning",CFA Level 1,75,Professor
Bachelor's,Psychology,Accounting,Google Data Analytics,67,Business Analyst
PhD,Computer Science,"Accounting, Financial Analysis",Google Data Analytics,77,School Counselor
PhD,Commerce,"Machine Learning, Python",Digital Marketing,72,Business Analyst
Matric,Business,"Python, Accounting, Communication",Tally ERP,87,Software Engineer
PhD,Business,"Counseling, Python",None,93,Software Engineer
Bachelor's,Arts,"SQL, Data Analysis",None,70,Marketing Executive
PhD,Arts,"MS Office, Marketing",Mental Health Basics,75,Business Analyst
Bachelor's,Science,"Financial Analysis, Machine Learning, MS Office",None,91,Software Engineer
Master's,Business,"MS Office, Counseling",Tally ERP,93,Professor
Master's,Business,Financial Analysis,Mental Health Basics,79,Sales Assistant
Matric,Business,MS Office,None,76,Data Entry Operator
Intermediate,Business,Machine Learning,AWS Certified,94,Business Analyst
PhD,Psychology,Financial Analysis,Digital Marketing,95,Junior Accountant
Matric,Computer Science,"MS Office, Communication, Python",AWS Certified,79,Financial Analyst
Intermediate,Business,"SQL, Counseling",None,73,School Counselor
Intermediate,Psychology,Counseling,Google Data Analytics,93,Business Analyst
PhD,Business,"Accounting, Marketing, Financial Analysis",Tally ERP,90,Software Engineer
Intermediate,Computer Science,"Python, Communication, Machine Learning",Google Data Analytics,62,School Counselor
Matric,Arts,"Marketing, SQL, Financial Analysis",CFA Level 1,66,Research Scientist
Matric,Arts,Python,Digital Marketing,64,ML Engineer
Master's,Arts,Python,None,92,Sales Assistant
Master's,Arts,"Machine Learning, Marketing, Accounting",AWS Certified,77,ML Engineer
Matric,Science,"Accounting, Marketing",AWS Certified,93,Financial Analyst
Bachelor's,Engineering,"Marketing, Accounting",Tally ERP,92,Professor
PhD,Psychology,"SQL, MS Office",Digital Marketing,83,Software Engineer
Bachelor's,Business,"Communication, Marketing",CFA Level 1,82,Business Analyst
PhD,Computer Science,"Financial Analysis, Marketing",None,83,Professor
Matric,Business,"Counseling, Marketing",Mental Health Basics,69,Sales Assistant
Matric,Finance,"Accounting, MS Office",Digital Marketing,81,Business Analyst
Master's,Computer Science,Python,Google Data Analytics,85,Software Engineer
PhD,Computer Science,Accounting,Google Data Analytics,66,School Counselor
Master's,Arts,SQL,None,62,Financial Analyst
Bachelor's,Finance,"MS Office, Marketing",Digital Marketing,61,Junior Accountant
Bachelor's,Business,Communication,AWS Certified,70,Software Engineer
Bachelor's,Engineering,"Accounting, Marketing, Machine Learning",None,82,Marketing Executive
Matric,Business,"Marketing, Accounting, SQL",Digital Marketing,64,Marketing Executive
PhD,Psychology,"Financial Analysis, SQL, Python",Google Data Analytics,94,Data Entry Operator
PhD,Finance,"SQL, Marketing, Counseling",Creative Writing,74,Financial Analyst
Intermediate,Arts,MS Office,Tally ERP,75,Sales Assistant
Matric,Business,Python,Google Data Analytics,60,Software Engineer
Intermediate,Business,"Financial Analysis, SQL",Tally ERP,83,Software Engineer
Intermediate,Arts,"Accounting, Counseling, Data Analysis",Tally ERP,75,Professor
Master's,Science,"Communication, Machine Learning, Financial Analysis",None,75,Sales Assistant
Bachelor's,Science,"MS Office, Accounting",AWS Certified,92,Clerk
PhD,Arts,"Communication, Python",Google Data Analytics,71,Sales Assistant
Bachelor's,Commerce,"Python, Accounting, Machine Learning",Mental Health Basics,69,School Counselor
Intermediate,Commerce,"Data Analysis, SQL",Mental Health Basics,73,Financial Analyst
Intermediate,Engineering,SQL,None,95,Sales Assistant
Master's,Finance,Python,Digital Marketing,82,ML Engineer
Matric,Finance,"Communication, Marketing",Digital Marketing,80,Research Scientist
Master's,Psychology,"Data Analysis, SQL, Communication",Mental Health Basics,71,Marketing Executive
Intermediate,Business,"Machine Learning, Communication",CFA Level 1,81,Financial Analyst
Intermediate,Engineering,"SQL, Data Analysis",Digital Marketing,95,Marketing Executive
PhD,Commerce,"Communication, Python",CFA Level 1,76,Financial Analyst
Master's,Science,"Python, Counseling",None,62,Business Analyst
Master's,Computer Science,"Machine Learning, SQL",Mental Health Basics,86,ML Engineer
Intermediate,Business,"MS Office, Python",Digital Marketing,93,Business Analyst
PhD,Computer Science,Accounting,CFA Level 1,73,School Counselor
PhD,Engineering,"Python, Data Analysis",None,69,Professor
Matric,Arts,"MS Office, Marketing",Google Data Analytics,70,Junior Accountant
Intermediate,Commerce,SQL,Tally ERP,60,ML Engineer
Master's,Finance,Communication,Mental Health Basics,91,Software Engineer
Intermediate,Science,Financial Analysis,Tally ERP,78,Professor
Matric,Psychology,"MS Office, Data Analysis",Tally ERP,84,Data Entry Operator
Intermediate,Commerce,Counseling,None,92,Junior Accountant
Master's,Psychology,"Marketing, Communication",Tally ERP,80,Research Scientist
PhD,Psychology,"Accounting, Data Analysis, Communication",Digital Marketing,66,Financial Analyst
Bachelor's,Engineering,"MS Office, Marketing, Python",Digital Marketing,78,Software Engineer
Intermediate,Engineering,MS Office,Mental Health Basics,87,Professor
PhD,Arts,"Python, Financial Analysis, Data Analysis",CFA Level 1,67,Marketing Executive
PhD,Psychology,"Machine Learning, Python",AWS Certified,95,Financial Analyst
Bachelor's,Psychology,"Communication, Python",None,91,Financial Analyst
Master's,Psychology,"Python, Marketing, Communication",Google Data Analytics,80,ML Engineer
Master's,Finance,"Machine Learning, Marketing",Digital Marketing,95,Data Entry Operator
Intermediate,Commerce,SQL,Digital Marketing,78,School Counselor
PhD,Business,"SQL, Counseling, Python",Mental Health Basics,69,Sales Assistant
Intermediate,Engineering,"SQL, Counseling, Communication",Digital Marketing,82,Research Scientist
Intermediate,Psychology,Python,AWS Certified,78,Financial Analyst
Matric,Commerce,"Python, Machine Learning, Accounting",CFA Level 1,84,Data Entry Operator
Bachelor's,Finance,Marketing,Tally ERP,62,Financial Analyst
Matric,Computer Science,"Data Analysis, Communication",Mental Health Basics,93,Professor
Bachelor's,Finance,"SQL, Financial Analysis, Marketing",Digital Marketing,75,Business Analyst
Matric,Business,"Data Analysis, Accounting, Python",CFA Level 1,79,School Counselor
PhD,Psychology,Financial Analysis,Tally ERP,81,Business Analyst
Bachelor's,Finance,Marketing,AWS Certified,95,Data Entry Operator
Matric,Business,Accounting,None,82,Data Entry Operator
Intermediate,Psychology,"Marketing, MS Office, Data Analysis",Digital Marketing,62,Junior Accountant
Master's,Finance,"SQL, Python, MS Office",None,70,Data Entry Operator
Bachelor's,Arts,"SQL, Python",CFA Level 1,86,Professor
PhD,Science,"MS Office, Marketing",Digital Marketing,81,Software Engineer
Matric,Arts,"Python, SQL, Counseling",Creative Writing,64,Data Entry Operator
Bachelor's,Engineering,"Python, Marketing",Mental Health Basics,86,Software Engineer
PhD,Commerce,"Counseling, Data Analysis",Mental Health Basics,92,Business Analyst
Master's,Psychology,"Accounting, Communication, SQL",Google Data Analytics,81,Professor
Master's,Finance,Data Analysis,Creative Writing,68,Research Scientist
Intermediate,Finance,"Counseling, Python",AWS Certified,76,Business Analyst
Master's,Commerce,"Counseling, Python, Marketing",Tally ERP,95,ML Engineer
Bachelor's,Business,Financial Analysis,Creative Writing,74,Software Engineer
Bachelor's,Finance,Communication,Digital Marketing,63,School Counselor
Master's,Engineering,"Marketing, Python, Machine Learning",Creative Writing,72,Research Scientist
Intermediate,Science,"Machine Learning, Python, Marketing",Tally ERP,85,ML Engineer
Master's,Arts,"Machine Learning, MS Office, Python",Creative Writing,61,Data Entry Operator
Matric,Business,"Communication, Financial Analysis, SQL",Tally ERP,66,Software Engineer
Bachelor's,Engineering,"Data Analysis, Marketing",Digital Marketing,80,Business Analyst
PhD,Engineering,Counseling,AWS Certified,68,Clerk
Master's,Computer Science,Communication,AWS Certified,80,Financial Analyst
Matric,Science,MS Office,None,71,Research Scientist
Master's,Engineering,"SQL, Machine Learning",Tally ERP,71,School Counselor
Matric,Psychology,"Financial Analysis, Data Analysis",Digital Marketing,69,ML Engineer
Matric,Arts,Data Analysis,Mental Health Basics,69,Research Scientist
Bachelor's,Business,"Machine Learning, Data Analysis",Digital Marketing,95,School Counselor
Bachelor's,Commerce,SQL,Digital Marketing,83,Sales Assistant
Bachelor's,Engineering,Communication,Google Data Analytics,94,Sales Assistant
PhD,Business,"Marketing, Data Analysis",None,67,Professor
PhD,Science,"SQL, Communication, Machine Learning",Google Data Analytics,63,Research Scientist
Bachelor's,Engineering,"Machine Learning, Communication, Marketing",Digital Marketing,94,School Counselor
PhD,Engineering,Data Analysis,None,79,Business Analyst
Matric,Psychology,SQL,Digital Marketing,85,Marketing Executive
Master's,Science,Accounting,None,63,Clerk
Intermediate,Arts,"Financial Analysis, Python",CFA Level 1,90,Junior Accountant
Intermediate,Psychology,"Machine Learning, Communication",Digital Marketing,89,ML Engineer
Matric,Science,Accounting,None,94,Sales Assistant
PhD,Psychology,SQL,AWS Certified,94,Financial Analyst
Bachelor's,Engineering,Accounting,Tally ERP,80,School Counselor
PhD,Business,"SQL, MS Office, Financial Analysis",Mental Health Basics,82,Business Analyst
Matric,Finance,"MS Office, Marketing",Mental Health Basics,71,Clerk
Intermediate,Commerce,"MS Office, SQL",Creative Writing,63,School Counselor
Intermediate,Psychology,Marketing,Tally ERP,74,Junior Accountant
Bachelor's,Psychology,Machine Learning,Google Data Analytics,86,Junior Accountant
Matric,Engineering,Machine Learning,Tally ERP,63,Junior Accountant
Master's,Computer Science,"MS Office, Accounting",AWS Certified,71,Marketing Executive
PhD,Commerce,"Python, Accounting",Mental Health Basics,89,Marketing Executive
Bachelor's,Finance,"Data Analysis, Machine Learning, SQL",Creative Writing,63,Professor
Bachelor's,Business,SQL,Google Data Analytics,71,ML Engineer
Intermediate,Business,Marketing,Mental Health Basics,68,Business Analyst
Bachelor's,Business,Data Analysis,Digital Marketing,79,Sales Assistant
Intermediate,Arts,"Python, Accounting",AWS Certified,67,Professor
Master's,Commerce,Python,AWS Certified,92,Professor
Intermediate,Psychology,Counseling,Creative Writing,65,Marketing Executive
Master's,Finance,Communication,AWS Certified,66,Junior Accountant
PhD,Arts,"MS Office, Marketing",None,66,Professor
Intermediate,Science,Accounting,Creative Writing,64,Data Entry Operator
Intermediate,Computer Science,MS Office,Tally ERP,61,ML Engineer
Matric,Computer Science,"SQL, Marketing, Counseling",Creative Writing,72,Business Analyst
Master's,Business,Machine Learning,Google Data Analytics,61,Business Analyst
Master's,Engineering,"Financial Analysis, Machine Learning",AWS Certified,92,Financial Analyst
Intermediate,Computer Science,"Machine Learning, Data Analysis",AWS Certified,68,Data Entry Operator
Intermediate,Psychology,"Financial Analysis, Counseling",Digital Marketing,80,ML Engineer
PhD,Science,"Marketing, Python, Machine Learning",Digital Marketing,86,Professor
Matric,Computer Science,"SQL, Python",Tally ERP,94,Junior Accountant
Bachelor's,Arts,SQL,Creative Writing,94,Marketing Executive
Bachelor's,Engineering,"Marketing, SQL, Accounting",Digital Marketing,65,Clerk
Bachelor's,Arts,"Financial Analysis, Data Analysis, MS Office",Mental Health Basics,86,Data Entry Operator
Master's,Arts,"Financial Analysis, Data Analysis, Python",CFA Level 1,70,Clerk
Master's,Business,MS Office,Google Data Analytics,78,Clerk
Matric,Psychology,Marketing,Digital Marketing,67,Professor
Intermediate,Science,"Marketing, MS Office",CFA Level 1,74,Professor
Intermediate,Arts,"Communication, Python, Machine Learning",CFA Level 1,79,Business Analyst
Matric,Arts,"Machine Learning, Python",Tally ERP,85,Business Analyst
PhD,Commerce,"Communication, Python",Mental Health Basics,88,Data Entry Operator
Matric,Psychology,"Financial Analysis, Python",Tally ERP,82,Sales Assistant
Master's,Science,Data Analysis,None,91,Data Entry Operator
Master's,Commerce,"Data Analysis, MS Office, Marketing",Tally ERP,67,Junior Accountant
Master's,Engineering,"Data Analysis, Python",Digital Marketing,70,Sales Assistant
Bachelor's,Engineering,"Python, SQL",Google Data Analytics,74,Marketing Executive
Matric,Arts,Communication,AWS Certified,62,Professor
Master's,Engineering,"SQL, Accounting",AWS Certified,78,Research Scientist
Bachelor's,Arts,"Communication, Marketing, Accounting",None,78,Professor
Master's,Finance,"Marketing, MS Office, Python",Mental Health Basics,77,Sales Assistant
PhD,Arts,"Financial Analysis, Machine Learning, Marketing",Google Data Analytics,72,Marketing Executive
Matric,Finance,"Python, Marketing, Accounting",Tally ERP,65,Data Entry Operator
Bachelor's,Commerce,"Financial Analysis, Data Analysis, SQL",Mental Health Basics,93,Professor
Matric,Psychology,"Machine Learning, Accounting",CFA Level 1,82,Data Entry Operator
Master's,Commerce,Python,Mental Health Basics,94,Data Entry Operator
Intermediate,Commerce,Python,Google Data Analytics,79,Sales Assistant
Bachelor's,Commerce,"Marketing, Machine Learning, Counseling",Mental Health Basics,71,Clerk
PhD,Commerce,"Counseling, SQL, Machine Learning",Digital Marketing,60,Financial Analyst
Matric,Computer Science,"Python, Counseling, Machine Learning",AWS Certified,61,Clerk
Matric,Engineering,"Marketing, MS Office, Machine Learning",None,84,Professor
Matric,Arts,"Financial Analysis, Python, Marketing",Google Data Analytics,64,School Counselor
Bachelor's,Science,"Python, SQL",Creative Writing,66,Junior Accountant
Matric,Psychology,MS Office,AWS Certified,84,School Counselor
PhD,Science,Marketing,None,77,Research Scientist
Matric,Finance,"Financial Analysis, Accounting, Counseling",Tally ERP,84,Software Engineer
Intermediate,Engineering,"MS Office, Financial Analysis",None,92,School Counselor
Matric,Science,"Python, Marketing, MS Office",Creative Writing,94,School Counselor
Master's,Science,"MS Office, Marketing",Digital Marketing,69,Marketing Executive
Matric,Psychology,Counseling,Creative Writing,61,ML Engineer
Master's,Science,Data Analysis,Tally ERP,70,ML Engineer
Matric,Commerce,"MS Office, Accounting",Google Data Analytics,95,School Counselor
Bachelor's,Business,"Marketing, Accounting, Counseling",Tally ERP,64,School Counselor
Bachelor's,Psychology,"Machine Learning, Accounting",Digital Marketing,88,Marketing Executive
PhD,Commerce,"Marketing, Financial Analysis",Tally ERP,73,School Counselor
Matric,Computer Science,Communication,Creative Writing,84,Clerk
PhD,Psychology,"Marketing, Python, Communication",AWS Certified,83,Research Scientist
PhD,Computer Science,"Machine Learning, Financial Analysis",CFA Level 1,94,ML Engineer
Bachelor's,Business,"MS Office, Financial Analysis, SQL",Mental Health Basics,89,Research Scientist
PhD,Science,"Machine Learning, Python",CFA Level 1,68,Clerk
Bachelor's,Finance,"Data Analysis, Marketing, Communication",Digital Marketing,83,Software Engineer
Matric,Business,"Machine Learning, Data Analysis",Creative Writing,62,Research Scientist
Bachelor's,Engineering,"SQL, Marketing, Communication",CFA Level 1,88,Sales Assistant
PhD,Engineering,"Data Analysis, Counseling",Digital Marketing,85,Data Entry Operator
PhD,Engineering,"Marketing, SQL",Mental Health Basics,62,Software Engineer
PhD,Commerce,Financial Analysis,Mental Health Basics,87,ML Engineer
Bachelor's,Engineering,Communication,Google Data Analytics,62,School Counselor
Bachelor's,Business,SQL,Google Data Analytics,76,Clerk
Bachelor's,Psychology,"SQL, Communication, Machine Learning",Mental Health Basics,63,Business Analyst
Bachelor's,Psychology,Financial Analysis,Digital Marketing,94,Marketing Executive
PhD,Science,"MS Office, Python, Communication",CFA Level 1,85,Financial Analyst
Intermediate,Commerce,"SQL, MS Office, Communication",Mental Health Basics,94,School Counselor
Master's,Science,"Accounting, MS Office",Mental Health Basics,68,ML Engineer
Master's,Computer Science,SQL,None,63,Research Scientist
Bachelor's,Computer Science,Marketing,Digital Marketing,76,Data Entry Operator
Master's,Business,"Financial Analysis, SQL, Marketing",CFA Level 1,87,Junior Accountant
Master's,Psychology,"Accounting, Machine Learning",AWS Certified,81,Clerk
Bachelor's,Finance,Communication,Creative Writing,79,Marketing Executive
Intermediate,Arts,Accounting,AWS Certified,75,ML Engineer
Bachelor's,Psychology,"Communication, Data Analysis",Mental Health Basics,92,Business Analyst
Bachelor's,Finance,"Python, Counseling",Google Data Analytics,66,Sales Assistant
Bachelor's,Arts,"Counseling, Financial Analysis",None,88,Financial Analyst
PhD,Science,Financial Analysis,Tally ERP,64,Clerk
PhD,Finance,"Counseling, Financial Analysis",Digital Marketing,95,Financial Analyst
Intermediate,Psychology,"Financial Analysis, SQL",None,77,Data Entry Operator
Intermediate,Science,"Counseling, Communication, Financial Analysis",Digital Marketing,86,ML Engineer
Intermediate,Computer Science,"MS Office, Python, Counseling",Creative Writing,95,ML Engineer
Master's,Arts,"Communication, Machine Learning",Google Data Analytics,84,Software Engineer
Bachelor's,Psychology,"Accounting, Machine Learning, Financial Analysis",Mental Health Basics,62,Software Engineer
Bachelor's,Psychology,"MS Office, Machine Learning",Google Data Analytics,73,Junior Accountant
Bachelor's,Business,"Python, Financial Analysis, MS Office",Digital Marketing,83,School Counselor
Intermediate,Business,Python,Mental Health Basics,68,ML Engineer
Intermediate,Psychology,"SQL, Data Analysis",Tally ERP,90,Junior Accountant
Bachelor's,Business,"Communication, Accounting",Tally ERP,68,Business Analyst
PhD,Engineering,Accounting,Mental Health Basics,65,Clerk
Intermediate,Business,"Financial Analysis, Machine Learning, Marketing",AWS Certified,70,ML Engineer
Master's,Arts,"SQL, Data Analysis",Google Data Analytics,82,Marketing Executive
Matric,Business,"SQL, Data Analysis",Tally ERP,92,Software Engineer
Bachelor's,Finance,"Accounting, Data Analysis, MS Office",Creative Writing,73,Business Analyst
Matric,Arts,"Counseling, Communication",AWS Certified,75,Sales Assistant
Bachelor's,Engineering,Counseling,Creative Writing,61,Marketing Executive
Bachelor's,Science,"Marketing, Financial Analysis, Python",AWS Certified,93,Data Entry Operator
PhD,Finance,SQL,Google Data Analytics,92,Data Entry Operator
PhD,Arts,"Machine Learning, Python, Communication",Creative Writing,80,Clerk
PhD,Computer Science,Communication,Tally ERP,91,Business Analyst
Master's,Psychology,"Counseling, Machine Learning, Communication",Digital Marketing,73,Data Entry Operator
Bachelor's,Psychology,"Machine Learning, Accounting",Google Data Analytics,70,ML Engineer
Bachelor's,Science,MS Office,Tally ERP,84,Junior Accountant
PhD,Engineering,Marketing,AWS Certified,89,Junior Accountant
PhD,Arts,Data Analysis,Creative Writing,91,Junior Accountant
Matric,Computer Science,Financial Analysis,AWS Certified,70,Data Entry Operator
Master's,Finance,Counseling,Tally ERP,94,Sales Assistant
Bachelor's,Computer Science,"MS Office, Accounting",Mental Health Basics,61,Software Engineer
PhD,Science,Financial Analysis,CFA Level 1,76,Software Engineer
PhD,Finance,"Marketing, Python",Creative Writing,74,Software Engineer
Matric,Commerce,"MS Office, Accounting",None,86,Junior Accountant
PhD,Engineering,"Counseling, Financial Analysis, Accounting",Digital Marketing,81,Sales Assistant
PhD,Computer Science,SQL,CFA Level 1,83,School Counselor
Bachelor's,Psychology,"Python, Accounting",CFA Level 1,72,Business Analyst
PhD,Computer Science,Machine Learning,CFA Level 1,85,Sales Assistant
Master's,Science,"Data Analysis, Financial Analysis",Digital Marketing,89,Financial Analyst
Intermediate,Engineering,"Communication, Data Analysis",Digital Marketing,90,Professor
Bachelor's,Science,"MS Office, Python, Counseling",Digital Marketing,87,ML Engineer
